restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent
Red Lobster,Side of Lobster-Topped Mashed Potatoes,1.0,serving,204.08,9.85,4.33,16.78,9.93,43.62,695.78,4.6,310.64,6.55,19.306154449235592,74.00039200313603,12.838102704821639
Red Lobster,Wednesday Steak & Lobster with Baked Potato,1.0,serving,344.61,34.58,1.76,18.09,9.88,52.33,517.87,3.13,767.44,11.99,40.13812715823684,47.24471141290154,13.917181741679
TGI Friday's,The Best Fridays Margarita,1.0,Serving,250.13,24.68,17.53,0.03,0.0,0.0,10.16,0.11,134.71,0.36,39.46747691200576,0.10794386918802225,0.5757006356694518
TGI Friday's,"Classic Fridays Combo, Dry Rub",1.0,Serving,246.89,39.48,18.82,8.81,5.2,51.34,231.37,1.7,210.83,3.77,63.96370853416501,32.11551703187655,6.107983312406335
TGI Friday's,"Classic Fridays Combo, Garlic Parmesan",1.0,Serving,246.89,39.48,18.82,8.81,5.2,51.34,231.37,1.7,210.83,3.77,63.96370853416501,32.11551703187655,6.107983312406335
TGI Friday's,"Classic Fridays Combo, Nashville Hot",1.0,Serving,357.5,27.93,18.82,20.5,3.57,170.0,1322.5,3.25,635.0,6.7,31.25034965034965,51.608391608391614,7.496503496503497
TGI Friday's,"Classic Fridays Combo, Whiskey-Glaze",1.0,Serving,357.5,27.93,18.82,20.5,3.57,170.0,1322.5,3.25,635.0,6.7,31.25034965034965,51.608391608391614,7.496503496503497
TGI Friday's,Fridays Original Long Island Tea,1.0,Serving,255.81,12.66,11.44,0.23,0.01,0.0,9.53,0.15,28.39,0.09,19.79594230092647,0.8091943239122789,0.14072944763691803
TGI Friday's,"Classic Fridays Combo, Apple Butter BBQ",1.0,Serving,357.5,27.93,18.82,20.5,3.57,170.0,1322.5,3.25,635.0,6.7,31.25034965034965,51.608391608391614,7.496503496503497
TGI Friday's,"Classic Fridays Combo, Frank's RedHot Buffalo",1.0,Serving,246.89,39.48,18.82,8.81,5.2,51.34,231.37,1.7,210.83,3.77,63.96370853416501,32.11551703187655,6.107983312406335
TGI Friday's,"Classic Fridays Combo, Korean Red Chile",1.0,Serving,246.89,39.48,18.82,8.81,5.2,51.34,231.37,1.7,210.83,3.77,63.96370853416501,32.11551703187655,6.107983312406335
