food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
"cake, pound",,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,Low
calamari,,,,,,,,,,,,,Olive Garden,1.0,serving,356.47,37.45,0.14,14.51,1.33,192.16,252.36,1.33,261.99,17.61,,,,Unknown
california bowl,,,,,,,,,,,,,Rubio's,1.0,Serving,348.54,37.89,7.02,18.75,2.84,17.13,536.83,3.23,293.35,7.81,,,,Unknown
california chicken burrito,,,,,,,,,,,,,Rubio's,1.0,Serving,747.68,46.02,1.94,40.35,12.55,125.72,1055.49,5.43,770.26,48.63,,,,Unknown
california steak burrito,,,,,,,,,,,,,Rubio's,1.0,Serving,348.54,37.89,7.02,18.75,2.84,17.13,536.83,3.23,293.35,7.81,,,,Unknown
cappuccino,,,,,,,,,,,,,Olive Garden,1.0,serving,119.7,11.97,11.57,4.64,2.93,18.3,115.8,0.0,388.33,7.62,,,,Unknown
"cappuccino, large",,,,,,,,,,,,,McDonald's,1.0,Serving,119.7,11.97,11.57,4.64,2.93,18.3,115.8,0.0,388.33,7.62,,,,Unknown
"cappuccino, medium",,,,,,,,,,,,,McDonald's,1.0,Serving,19.32,3.25,3.11,0.51,0.29,1.52,8.05,0.0,32.25,0.49,,,,Unknown
"cappuccino, small",,,,,,,,,,,,,McDonald's,1.0,Serving,19.32,3.25,3.11,0.51,0.29,1.52,8.05,0.0,32.25,0.49,,,,Unknown
captain's castaway,,,,,,,,,,,,,Chili's,1.0,Serving,240.0,,,,,,,,,,,,,Unknown
carnitas,,,,,,,,,,,,,Chipotle,4.0,oz,341.76,3.88,1.53,24.87,7.04,93.98,394.33,0.72,359.15,24.53,,,,Unknown
carrot juice,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,Low
"carrots, raw",,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,Low
casamigos 'rita,,,,,,,,,,,,,Chili's,1.0,Serving,240.0,,,,,,,,,,,,,Unknown
cashews,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,Low
"catering, chick-fil-a chicken sandwich",,,,,,,,,,,,,Chick-fil-A,1.0,Serving,465.63,39.06,6.81,20.93,3.97,65.45,1408.11,2.62,458.15,30.44,,,,Unknown
"catering, coke",,,,,,,,,,,,,Olive Garden,2.0,liter,163.89,40.66,38.93,0.86,0.0,0.0,10.21,0.2,37.93,0.1,,,,Unknown
"catering, sprite",,,,,,,,,,,,,Olive Garden,2.0,liter,197.7,25.67,25.58,0.0,0.0,0.0,25.06,0.0,2.88,0.22,,,,Unknown
"catering, tiramisu",,,,,,,,,,,,,Olive Garden,1.0,slice,572.0,35.11,20.65,44.36,25.45,306.58,300.41,0.33,160.95,8.29,,,,Unknown
"cauli rice, large",,,,,,,,,,,,,Rubio's,1.0,Serving,25.0,4.97,1.91,0.28,0.13,0.0,30.0,2.0,299.0,1.92,,,,Unknown
"cauli rice, regular",,,,,,,,,,,,,Rubio's,1.0,Serving,227.5,10.46,3.68,13.46,6.96,114.84,771.79,2.73,291.5,17.28,,,,Unknown
cauliflower,80.4,13.059999999999999,6.92,0.118,,Diabetic-Friendly Foods,CAULIFLOWER,TOPS,Frozen Vegetables,,12.5,,,,,,,,,,,,,,,,,,Unknown
cheese,,,,,,,,,,,,,Chipotle,1.0,oz,113.12,0.87,0.13,9.33,5.28,27.72,182.84,0.0,21.28,6.4,,,,Unknown
cheese fries,,,,,,,,,,,,,Wendy's,1.0,serving,281.28,8.63,0.28,21.44,11.69,59.25,392.34,0.43,155.44,13.48,,,,Unknown
"cheese fries, large",,,,,,,,,,,,,Wingstop,18.0,oz,281.28,8.63,0.28,21.44,11.69,59.25,392.34,0.43,155.44,13.48,,,,Unknown
